R_U,R_E,R_M,sum_URLLC,sum_eMBB,sum_mMTC,obj
0,0,50,0.000000,0.000000,10.000000,10.000000
0,10,40,0.000000,13.646573,10.000000,23.646573
0,20,30,0.000000,32.737373,10.000000,42.737373
0,30,20,0.000000,32.737373,10.000000,42.737373
0,40,10,0.000000,32.737373,7.100000,39.837373
0,50,0,0.000000,32.737373,-10.000000,22.737373
10,0,40,22.752500,0.000000,10.000000,32.752500
10,10,30,22.752500,13.646573,10.000000,46.399073
10,20,20,22.752500,32.737373,10.000000,65.489873
10,30,10,22.752500,32.737373,7.100000,62.589873
10,40,0,22.752500,32.737373,-10.000000,45.489873
20,0,30,22.800000,0.000000,10.000000,32.800000
20,10,20,22.800000,13.646573,10.000000,46.446573
20,20,10,22.800000,32.737373,7.100000,62.637373
20,30,0,22.800000,32.737373,-10.000000,45.537373
30,0,20,22.800000,0.000000,10.000000,32.800000
30,10,10,22.800000,13.646573,7.100000,43.546573
30,20,0,22.800000,32.737373,-10.000000,45.537373
40,0,10,22.800000,0.000000,7.100000,29.900000
40,10,0,22.800000,13.646573,-10.000000,26.446573
50,0,0,22.800000,0.000000,-10.000000,12.800000
