R_U,R_E,R_M,sum_URLLC,sum_eMBB,sum_mMTC,obj
0,0,50,0.000000,0.000000,10.000000,10.000000
0,10,40,0.000000,-207.000000,10.000000,-197.000000
0,20,30,0.000000,-426.000000,10.000000,-416.000000
0,30,20,0.000000,-426.000000,10.000000,-416.000000
0,40,10,0.000000,-426.000000,7.100000,-418.900000
0,50,0,0.000000,-426.000000,-10.000000,-436.000000
10,0,40,17.100000,0.000000,10.000000,27.100000
10,10,30,17.100000,-207.000000,10.000000,-179.900000
10,20,20,17.100000,-426.000000,10.000000,-398.900000
10,30,10,17.100000,-426.000000,7.100000,-401.800000
10,40,0,17.100000,-426.000000,-10.000000,-418.900000
20,0,30,17.100000,0.000000,10.000000,27.100000
20,10,20,17.100000,-207.000000,10.000000,-179.900000
20,20,10,17.100000,-426.000000,7.100000,-401.800000
20,30,0,17.100000,-426.000000,-10.000000,-418.900000
30,0,20,17.100000,0.000000,10.000000,27.100000
30,10,10,17.100000,-207.000000,7.100000,-182.800000
30,20,0,17.100000,-426.000000,-10.000000,-418.900000
40,0,10,17.100000,0.000000,7.100000,24.200000
40,10,0,17.100000,-207.000000,-10.000000,-199.900000
50,0,0,17.100000,0.000000,-10.000000,7.100000
