R_U,R_E,R_M,sum_URLLC,sum_eMBB,sum_mMTC,obj
0,0,50,0.000000,0.000000,10.000000,10.000000
0,10,40,0.000000,-210.000000,10.000000,-200.000000
0,20,30,0.000000,-432.000000,10.000000,-422.000000
0,30,20,0.000000,-432.000000,10.000000,-422.000000
0,40,10,0.000000,-432.000000,10.000000,-422.000000
0,50,0,0.000000,-432.000000,-10.000000,-442.000000
10,0,40,21.662375,0.000000,10.000000,31.662375
10,10,30,21.662375,-210.000000,10.000000,-178.337625
10,20,20,21.662375,-432.000000,10.000000,-400.337625
10,30,10,21.662375,-432.000000,10.000000,-400.337625
10,40,0,21.662375,-432.000000,-10.000000,-420.337625
20,0,30,21.850000,0.000000,10.000000,31.850000
20,10,20,21.850000,-210.000000,10.000000,-178.150000
20,20,10,21.850000,-432.000000,10.000000,-400.150000
20,30,0,21.850000,-432.000000,-10.000000,-420.150000
30,0,20,21.850000,0.000000,10.000000,31.850000
30,10,10,21.850000,-210.000000,10.000000,-178.150000
30,20,0,21.850000,-432.000000,-10.000000,-420.150000
40,0,10,21.850000,0.000000,10.000000,31.850000
40,10,0,21.850000,-210.000000,-10.000000,-198.150000
50,0,0,21.850000,0.000000,-10.000000,11.850000
