R_U,R_E,R_M,sum_URLLC,sum_eMBB,sum_mMTC,obj
0,0,50,0.000000,0.000000,10.000000,10.000000
0,10,40,0.000000,3.568348,10.000000,13.568348
0,20,30,0.000000,8.320770,10.000000,18.320770
0,30,20,0.000000,8.320770,10.000000,18.320770
0,40,10,0.000000,8.320770,7.100000,15.420770
0,50,0,0.000000,8.320770,-10.000000,-1.679230
10,0,40,21.707500,0.000000,10.000000,31.707500
10,10,30,21.707500,3.568348,10.000000,35.275848
10,20,20,21.707500,8.320770,10.000000,40.028270
10,30,10,21.707500,8.320770,7.100000,37.128270
10,40,0,21.707500,8.320770,-10.000000,20.028270
20,0,30,21.850000,0.000000,10.000000,31.850000
20,10,20,21.850000,3.568348,10.000000,35.418348
20,20,10,21.850000,8.320770,7.100000,37.270770
20,30,0,21.850000,8.320770,-10.000000,20.170770
30,0,20,21.850000,0.000000,10.000000,31.850000
30,10,10,21.850000,3.568348,7.100000,32.518348
30,20,0,21.850000,8.320770,-10.000000,20.170770
40,0,10,21.850000,0.000000,7.100000,28.950000
40,10,0,21.850000,3.568348,-10.000000,15.418348
50,0,0,21.850000,0.000000,-10.000000,11.850000
