R_U,R_E,R_M,sum_URLLC,sum_eMBB,sum_mMTC,obj
0,0,50,0.000000,0.000000,10.000000,10.000000
0,10,40,0.000000,-207.000000,10.000000,-197.000000
0,20,30,0.000000,-426.000000,10.000000,-416.000000
0,30,20,0.000000,-426.000000,10.000000,-416.000000
0,40,10,0.000000,-426.000000,7.100000,-418.900000
0,50,0,0.000000,-426.000000,-10.000000,-436.000000
10,0,40,22.657500,0.000000,10.000000,32.657500
10,10,30,22.657500,-207.000000,10.000000,-174.342500
10,20,20,22.657500,-426.000000,10.000000,-393.342500
10,30,10,22.657500,-426.000000,7.100000,-396.242500
10,40,0,22.657500,-426.000000,-10.000000,-413.342500
20,0,30,22.800000,0.000000,10.000000,32.800000
20,10,20,22.800000,-207.000000,10.000000,-174.200000
20,20,10,22.800000,-426.000000,7.100000,-396.100000
20,30,0,22.800000,-426.000000,-10.000000,-413.200000
30,0,20,22.800000,0.000000,10.000000,32.800000
30,10,10,22.800000,-207.000000,7.100000,-177.100000
30,20,0,22.800000,-426.000000,-10.000000,-413.200000
40,0,10,22.800000,0.000000,7.100000,29.900000
40,10,0,22.800000,-207.000000,-10.000000,-194.200000
50,0,0,22.800000,0.000000,-10.000000,12.800000
