R_U,R_E,R_M,sum_URLLC,sum_eMBB,sum_mMTC,obj
0,0,50,0.000000,0.000000,10.000000,10.000000
0,10,40,0.000000,-79.973410,10.000000,-69.973410
0,20,30,0.000000,-80.871999,10.000000,-70.871999
0,30,20,0.000000,-80.871999,10.000000,-70.871999
0,40,10,0.000000,-80.871999,7.100000,-73.771999
0,50,0,0.000000,-80.871999,-10.000000,-90.871999
10,0,40,22.800000,0.000000,10.000000,32.800000
10,10,30,22.800000,-79.973410,10.000000,-47.173410
10,20,20,22.800000,-80.871999,10.000000,-48.071999
10,30,10,22.800000,-80.871999,7.100000,-50.971999
10,40,0,22.800000,-80.871999,-10.000000,-68.071999
20,0,30,22.800000,0.000000,10.000000,32.800000
20,10,20,22.800000,-79.973410,10.000000,-47.173410
20,20,10,22.800000,-80.871999,7.100000,-50.971999
20,30,0,22.800000,-80.871999,-10.000000,-68.071999
30,0,20,22.800000,0.000000,10.000000,32.800000
30,10,10,22.800000,-79.973410,7.100000,-50.073410
30,20,0,22.800000,-80.871999,-10.000000,-68.071999
40,0,10,22.800000,0.000000,7.100000,29.900000
40,10,0,22.800000,-79.973410,-10.000000,-67.173410
50,0,0,22.800000,0.000000,-10.000000,12.800000
