Time,U1,U2,U3,U4,U5,U6,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30
0,58.93242738,49.61662214,28.94265225,70.13705083,50.43188005,59.88564141,58.31147931,49.30981141,56.19116764,43.39235311,58.20310634,54.17936231,60.40985655,40.24102098,61.6302783,58.01976107,56.02978161,46.88799174,38.55137889,24.4209622,41.50640253,56.13029796,63.02396397,56.91619313,58.20074159,47.2203037,61.36368347,33.28545065,55.81875371,54.39354747,57.09753093,76.37167207,45.93127333,73.68235225,32.88182102,72.85439543,60.4854837,76.5288611,61.0781134,59.10958729,49.62055147,56.4990325,57.99583413,59.43056226,64.49295518,65.9795918,73.89676072,61.93085287
0.001,56.26404534,58.68013282,35.02193088,64.47854124,45.6980246,64.07262456,71.63601283,58.62486075,69.82811701,43.14984691,69.87622187,64.88013217,60.48975045,56.08028553,60.68252962,61.65614785,45.5094607,43.04684775,52.81232723,41.35148074,60.92508863,58.802945,68.00476971,60.85887351,79.47072127,69.5965368,60.36836791,57.2336142,64.47475097,65.66782112,60.17295711,58.11847301,46.22084783,78.65718777,33.7587763,67.57491723,57.71806803,67.17592019,71.61845835,80.06816537,55.94344536,50.83035282,71.19496758,66.36916255,56.10584501,52.63940984,78.30708628,55.53107939
0.002,66.9848562,41.42943617,23.35428779,71.23569506,61.841511,63.4265566,75.46376082,60.65945798,50.46389072,44.9195855,49.48339305,49.54900598,64.24604325,57.15128478,69.07020764,53.9888484,60.21832247,37.10179453,51.92708749,24.78801199,72.90095679,52.79435799,70.5982965,60.68823952,66.07034325,55.43729866,41.78207208,42.92633309,69.16969583,56.8229173,61.47110489,69.59248815,50.12189658,59.69344055,28.40081264,60.13120393,51.54692716,49.98632116,54.54638414,82.89121815,64.12330234,68.40008405,52.80407043,57.84660605,63.10745035,56.2554826,71.77121091,68.95624742
0.003,65.04815996,47.24457734,41.13083977,66.11351501,43.55570372,60.74445295,76.51212329,84.74219287,48.0804763,39.57198861,65.96664182,67.12726032,54.86746707,48.00229299,60.81590628,61.35407127,59.65977285,46.94819349,43.9274405,33.14308093,74.65289941,65.49015631,70.42656154,58.24854961,61.1082066,51.07624944,48.79526119,35.84855841,65.81509758,64.08895384,61.15351043,70.41057063,57.03033216,73.03778678,47.21788917,67.45575198,67.92634685,53.20932808,64.76769874,83.72320235,70.93714497,63.91730594,54.57040085,54.84546643,55.01232652,66.12519618,64.25795798,68.38790436
0.004,74.29643198,43.38426136,47.12057984,78.54332054,53.83384855,60.36948979,69.8337073,69.39724764,53.13455308,55.32362773,74.59031997,51.34372623,76.01385691,75.24741879,64.0218965,52.90575814,65.5338874,39.36923142,45.69737749,31.59928156,70.1554097,78.79809036,66.28777049,66.67782602,73.52923909,45.76774744,41.52728573,38.76285178,69.2262132,53.96960845,54.40673237,66.39645825,59.09228495,63.15043425,41.66866431,78.62767518,57.27456815,60.39459374,62.03962105,76.41786637,64.84336011,71.05000938,50.24652821,52.88037724,64.31891302,72.27629382,50.29348413,62.49013954
0.005,80.27051738,52.82630367,18.0387982,56.05528653,55.60508591,50.88716634,72.57026715,72.70311343,54.166964,46.93201067,65.75483407,63.92264699,51.53900039,41.29488672,64.83202927,47.01851845,69.43364714,53.43770743,57.7029588,31.37881757,63.08209731,64.74167125,77.31837447,57.19142268,74.17047893,56.4558027,57.67586335,42.53946877,67.38015009,59.19724161,67.18656419,73.75041601,50.55289919,72.52655334,35.60524927,70.69820068,66.49864624,50.79976146,49.43145192,56.79565881,64.54289234,62.84703327,60.38569712,66.85152533,59.72992356,56.9140494,71.83262926,64.74356134
0.006,65.09480957,33.78579606,41.68845517,67.55290398,40.73808862,62.28868285,73.07555805,62.60765039,54.08539604,47.53876477,69.10694754,64.93165255,60.86666126,55.28409828,70.59881733,59.9770276,74.52836634,46.31802167,42.0654874,27.75903906,66.06383707,71.7374898,89.61024405,77.17228163,68.09671722,68.22442086,45.73937315,41.38982192,72.75647036,77.36422043,59.75923552,55.067066,50.42166219,63.83286642,43.20884005,73.81465458,50.03357868,67.6780546,60.56875796,68.02140515,63.71159559,68.85322528,63.08621763,56.30500711,65.21568782,58.15416251,78.16756326,55.34535528
0.007,74.65455995,48.30494743,37.17650483,64.81523307,64.3723848,42.273089,48.16233428,50.65068615,56.1645948,45.84503452,65.63253264,59.871655,53.60706114,60.26666304,57.59224727,59.78987661,58.66285929,45.44881054,43.73188685,33.26896699,79.46308313,79.88711851,62.25340464,69.05841168,78.70694521,41.47760933,47.11984215,42.5503043,61.50353656,67.3015458,54.35522516,69.56291155,39.57640638,58.4132505,30.27368897,66.13983277,63.64921129,71.95379408,66.75126117,76.79485553,49.1067696,62.57037771,58.34680743,44.11768108,53.09949705,56.29960085,62.81727057,56.87672563
0.008,65.12040216,51.35385899,29.40919673,72.86453981,49.56235126,52.78602677,62.32257629,58.81812298,73.2957493,45.27241726,70.78457291,61.00662087,56.11184956,47.60270882,54.30806142,45.84874405,57.57131801,49.53105693,54.1683892,20.70666777,57.46134877,72.92368195,76.61159894,65.188882,66.5748549,61.85834254,39.655209,45.0760907,66.12589137,71.59842455,65.97883864,53.78142964,53.89886108,60.54995248,50.12894801,69.94197669,73.38444154,59.26135741,50.87579699,61.14064699,76.49194342,67.42594146,73.26518308,52.74002799,61.22486663,64.11669816,63.7380944,54.80350033
0.009,64.51280341,45.50409643,36.59049617,55.42580491,39.86697577,65.54388532,77.32354758,47.65774249,60.67643525,45.0941405,60.26412423,69.00814965,62.52505713,43.63703555,54.11595619,43.09496695,48.27229666,39.0760623,48.82005566,36.55430313,63.82057173,68.34367533,64.88541787,52.68384939,60.37815607,71.71261549,48.44956784,66.89164201,72.8152235,61.31409552,59.84795246,55.12657263,36.71561814,66.30306144,61.05184898,60.23173351,49.57758725,68.53110491,74.80315563,67.88883622,74.4699116,48.78242613,60.47585498,60.60548053,68.15322828,60.0708615,65.98186369,62.44054144
